symbol,cashChange,cashFlow,costOfRevenue,currentAssets,currentCash,currentDebt,grossProfit,netIncome,operatingExpense,operatingGainsLosses,operatingIncome,operatingRevenue,reportDate,researchAndDevelopment,shareholderEquity,totalAssets,totalCash,totalDebt,totalLiabilities,totalRevenue
ABMD,6588000,56696000,24994000,422198000,50502000,,129028000,13446000,84262000,,44766000,154022000,2017-12-31,17706000,632482000,719602000.0,301253000,,87120000,154022000
ABR,14680000,-214149000,,,295334000,,,29625000,,5988000,,,2018-09-30,,797313000,4534260000.0,,,3567788000,83532000
ABR,46447000,-2184000,,,280654000,,,19055000,,-1386000,,,2018-06-30,,769999000,4204320000.0,,,3260808000,68334000
ABR,-9565000,20797000,,,234207000,,,28077000,,-746000,,,2018-03-31,,714606000,3748768000.0,,,2860898000,71387000
ABR,-88201000,73396000,,,104374000,,,23760000,,4707000,,,2017-12-31,,695825000,3625945000.0,,,2761389000,71101000
ABT,4331000000,2183000000,3166000000,18196000000,7369000000,4274000000,4490000000,563000000,3495000000,,995000000,7656000000,2018-09-30,574000000,30705000000,71637000000.0,7550000000,23558000000,40739000000,7656000000
ABT,-686000000,1244000000,3282000000,14122000000,3065000000,847000000,4485000000,733000000,3603000000,,882000000,7767000000,2018-06-30,575000000,30577000000,68415000000.0,3264000000,20670000000,37641000000,7767000000
ABT,-5585000000,1108000000,3067000000,14964000000,3857000000,737000000,4323000000,418000000,3715000000,,608000000,7390000000,2018-03-31,589000000,31399000000,70908000000.0,4042000000,21891000000,39307000000,7390000000
ABT,-1624000000,1640000000,3210000000,20147000000,9407000000,714000000,4379000000,-828000000,3566000000,2000000.0,813000000,7589000000,2017-12-31,594000000,30897000000,76250000000.0,9610000000,27924000000,45152000000,7589000000
ABTX,-9177000,14238000,,,191468000,,,8879000,,-119000,,,2018-09-30,,328131000,3035539000.0,,,2707408000,29964000
ABTX,10557000,7409000,,,200645000,,,7556000,,-83000,,,2018-06-30,,319888000,2966426000.0,,,2646538000,29621000
ABTX,7985000,10811000,,,190088000,,,7711000,,-67000,,,2018-03-31,,311988000,2886484000.0,,,2574496000,28535000
ABTX,-10324000,6218000,,,182103000,,,3204000,,-102000,,,2017-12-31,,306865000,2860231000.0,,,2553366000,29019000
ABUS,11609000,-13204000,16566000,144025000,21933000,,-14979000,-24473000,3128000,2681000,-18107000,1563000,2018-09-30,,215272000,245418000.0,142018000,,30146000,1587000
ABUS,-1907000,-17622000,16356000,157769000,10193000,,-15112000,3091000,4353000,-24523000,-19465000,1244000,2018-06-30,,238072000,277014000.0,154869000,,38942000,1244000
ABUS,-41266000,-19967000,13949000,175186000,12461000,,-12513000,-17429000,4271000,565000,-16784000,1436000,2018-03-31,,232418000,270026000.0,172540000,,37608000,1436000
ABUS,39270000,-10342000,17822000,129366000,54292000,,-15288000,-35931000,4163000,201000,-19451000,-7274000,2017-12-31,,182473000,237161000.0,126352000,,54688000,2534000
AC,75117000,56185000,,369021000,348887000,22353000.0,,-7379000,8165000,-789000,-3499000,4660000,2018-09-30,,923825000,1020989000.0,348887000,,97164000,4666000
AC,-10202000,-22180000,,297782000,273770000,13332000.0,,11824000,8242000,-3407000,-3446000,4787000,2018-06-30,,911936000,998928000.0,273770000,,86992000,4796000
AC,-9187000,-29388000,,306468000,283972000,5211000.0,,-22229000,8953000,2626000,-6779000,2152000,2018-03-31,,887794000,955343000.0,283972000,,67549000,2174000
AC,50810000,51900000,,349598000,293112000,,,15800000,15074000,-15667000,-3489000,11680000,2017-12-31,,918147000,1006915000.0,293112000,,42538000,11585000
ACA,-200000.0,19400000.0,308900000.0,449800000.0,10400000.0,100000.0,69700000.0,3200000.0,40100000.0,-800000.0,29600000.0,378600000.0,2018-09-30,,1403100000.0,1610000000.0,10400000.0,400000.0,206900000.0,378600000.0
ACA,,,,421500000.0,,100000.0,,,,,,,2018-06-30,,1394900000.0,1601100000.0,10600000.0,400000.0,206200000.0,
ACA,-3400000.0,27700000.0,282000000.0,428800000.0,6800000.0,100000.0,65500000.0,23600000.0,42400000.0,-700000.0,23100000.0,347500000.0,2017-12-31,,1407900000.0,1602500000.0,6800000.0,500000.0,194600000.0,347500000.0
ACA,-1700000.0,41100000.0,290400000.0,,10200000.0,,75500000.0,20600000.0,41900000.0,,33600000.0,365900000.0,2017-09-30,,,,,,,365900000.0
ACAD,-10285000,-42280000,3839000,254116000,67008000,,54466000,-62138000,115737000,1715000.0,-61271000,58305000,2018-09-30,53112000,223440000,266456000.0,214136000,,43016000,58305000
ACAD,-41864000,-40875000,3562000,301096000,77293000,,53501000,-63266000,117580000,270000.0,-64079000,57063000,2018-06-30,46592000,264720000,314960000.0,256855000,,50240000,57063000
ACAD,47262000,-45236000,2153000,340014000,119153000,,46715000,-54296000,101534000,9000.0,-54819000,48868000,2018-03-31,39276000,304169000,351040000.0,298063000,,46871000,48868000
ACAD,-43297000,-29995000,2455000,373477000,69418000,,41107000,-68871000,111116000,,-70009000,43562000,2017-12-31,43179000,335285000,384506000.0,341342000,,49221000,43562000
ACB,46149581.96,-53467527.38,18504268.42,501165849.76,114415569.58,928193.86,6231827.0,81642352.68,81240574.02,-167546346.06,-75008747.02,20482196.12,2018-09-30,2652203.64,3405843638.66,3836143164.54,383416059.2,225354476.42000002,427668998.16,24736095.42
ACB,-108282741.459,-34346511.289,-1111365.14,167236094.882,67894514.337,1865723.259,15686233.863,60797001.621,44851956.698,27039666.098,-29165722.835,14574868.723,2018-06-30,702595.907,1186396749.921,1454454215.644,113702549.539,154686042.099,264584830.265,14574868.723
ACB,-92833893.5,-20845667.5,6571632.5,305634739.0,178927313.5,1982720.0,5897817.5,-14882017.5,25268062.5,3264517.5,-19370245.0,12469450.0,2018-03-31,369436.5,1065765440.5,1294499300.0,223924989.0,162004488.5,220443611.5,12469450.0
ACB,177612351.88,-3703106.69,3846237.29,366599610.61,278978237.97,58047.41,5157472.62,6139507.57,16533174.64,9293151.79,-11075922.93,9303489.0,2017-12-31,136769.24,436383729.81,582377736.98,340451240.33,252068.89,140592417.36,9303489.0
ACBI,76786000,27325000,,,189587000,83000000.0,,6513000,,-813000,,,2018-09-30,,320237000,2882721000.0,,132662000.0,2562484000,25629000
ACBI,360000,22586000,,,112801000,150000000.0,,8151000,,-1990000,,,2018-06-30,,316770000,2690674000.0,,199620000.0,2373904000,25664000
ACBI,-217573000,21444000,,,112441000,185000000.0,,5038000,,-790000,,,2018-03-31,,307059000,2718665000.0,,234577000.0,2411606000,25500000
ACBI,248763000,22676000,,,330014000,,,-15337000,,-1130000,,,2017-12-31,,308425000,2891421000.0,,,2582996000,24979000
